id_municipio,sigla_partido,numero_de_eleitos
1120,PDT,1
1120,REPUBLICANOS,2
1120,UNIÃO,3
1120,PP,3
1570,PL,1
1570,PCdoB,1
1570,PDT,1
1570,PODE,1
1570,PSD,1
1570,MDB,1
1570,UNIÃO,1
1570,PT,1
1570,PP,1
1058,REPUBLICANOS,1
1058,PSD,2
1058,MDB,2
1058,UNIÃO,2
1058,PT,2
1058,PP,2
1007,PCdoB,1
1007,PSDB,1
1007,PDT,1
1007,PODE,1
1007,REPUBLICANOS,1
1007,PT,1
1007,MDB,1
1007,UNIÃO,1
1007,PP,1
1015,PL,1
1015,SOLIDARIEDADE,1
1015,PDT,1
1015,REPUBLICANOS,1
1015,PODE,1
1015,MDB,1
1015,PSD,1
1015,UNIÃO,1
1015,PP,1
1074,PSDB,1
1074,PDT,1
1074,REPUBLICANOS,1
1074,PSD,2
1074,PT,2
1074,UNIÃO,2
1074,MDB,2
1074,PP,3
1112,REPUBLICANOS,1
1112,PSD,2
1112,PT,2
1112,UNIÃO,2
1112,MDB,2
1112,PP,2
1139,PSD,2
1139,UNIÃO,4
1139,PT,4
1139,PP,3
1104,PSDB,1
1104,REPUBLICANOS,1
1104,PODE,1
1104,PCdoB,1
1104,PDT,1
1104,UNIÃO,1
1104,MDB,1
1104,PP,1
1104,PT,1
1554,REPUBLICANOS,1
1554,PSD,1
1554,MDB,2
1554,UNIÃO,3
1554,PP,2
1040,PODE,1
1040,PDT,1
1040,PCdoB,1
1040,REPUBLICANOS,1
1040,UNIÃO,2
1040,PSD,3
1040,PP,2
1090,REPUBLICANOS,1
1090,PSD,2
1090,PT,2
1090,UNIÃO,2
1090,MDB,2
1090,PP,2
1511,SOLIDARIEDADE,1
1511,PDT,1
1511,REPUBLICANOS,2
1511,PSD,2
1511,UNIÃO,3
1511,PP,2
1023,PSB,1
1023,PDT,1
1023,PSDB,1
1023,PODE,1
1023,REPUBLICANOS,1
1023,PSD,1
1023,MDB,1
1023,UNIÃO,1
1023,PP,1
1066,PSB,1
1066,REPUBLICANOS,1
1066,PSD,1
1066,UNIÃO,1
1066,MDB,1
1066,PT,2
1066,PP,2
1392,PSDB,1
1392,PODE,2
1392,REPUBLICANOS,2
1392,PSD,2
1392,MDB,3
1392,PT,3
1392,UNIÃO,4
1392,PP,4
1082,PODE,1
1082,REPUBLICANOS,2
1082,PSD,2
1082,UNIÃO,2
1082,PT,2
1082,PP,2
1031,PL,1
1031,PV,1
1031,SOLIDARIEDADE,1
1031,PCdoB,1
1031,PSB,1
1031,PODE,1
1031,PSD,1
1031,MDB,1
1031,PP,1
1457,REPUBLICANOS,2
1457,PSD,3
1457,MDB,4
1457,PP,4
